id;order_id;customer_name;is_active;order_placed_on;note
1;overriding;Sports;true;2023-01-30;evolve lime Awesome
2;Money Car driver;haptic;false;2023-01-30;Cambridgeshire orange
3;program bricks-and-clicks mission-critical;payment access lime;true;2023-01-30;SCSI Intranet
4;primary copying;Inverse;true;2023-01-31;Fantastic Future sexy
5;impactful;Borders;false;2023-01-30;indigo Practical Loan
6;Union;Cambridgeshire Cambridgeshire;true;2023-01-31;quantifying
7;Internal Divide Fantastic;Compatible;false;2023-01-30;capacity Loan
8;Grenada protocol;withdrawal Berkshire;true;2023-01-30;Savings
9;compress;Alaska reboot;true;2023-01-31;calculate Avon vortals
10;e-business;Product;true;2023-01-30;Bacon Generic
